ticker,expiry,strike,bid,ask,mid,lastPrice,volume,openInterest,spot,time_to_maturity
SPY,2026-03-20,628.0,35.1,35.68,35.39,35.54,27.0,9.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,629.0,34.18,34.76,34.47,40.39,1.0,1.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,630.0,33.27,33.85,33.56,33.66,328.0,9212.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,631.0,32.38,32.94,32.66,39.13,11.0,6.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,632.0,31.46,32.04,31.75,36.8,4.0,3.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,633.0,30.61,31.15,30.88,39.85,1.0,2.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,634.0,29.68,30.27,29.975,36.31,1.0,2.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,635.0,28.82,29.39,29.105,29.42,141.0,1186.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,636.0,27.93,28.52,28.225,30.05,12.0,2.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,638.0,26.23,26.78,26.505000000000003,33.9,2.0,4.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,639.0,25.43,25.96,25.695,25.99,3.0,21.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,640.0,24.61,25.12,24.865,25.0,248.0,3047.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,641.0,23.75,24.29,24.02,24.64,16.0,29.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,642.0,22.96,23.48,23.22,24.34,26.0,27.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,643.0,22.15,22.64,22.395,22.36,19.0,12.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,644.0,21.35,21.87,21.61,21.54,21.0,53.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,645.0,20.56,21.0,20.78,20.95,811.0,4162.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,646.0,19.78,20.3,20.04,20.0,18.0,64.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,647.0,19.16,19.38,19.27,20.0,6.0,100.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,648.0,18.26,18.78,18.520000000000003,20.33,70.0,12.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,649.0,17.44,18.01,17.725,19.48,4.0,84.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,650.0,16.78,17.21,16.995,17.22,1148.0,24865.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,651.0,16.05,16.5,16.275,16.55,60.0,24.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,652.0,15.35,15.86,15.605,15.54,34.0,33.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,653.0,14.66,15.13,14.895,14.85,18.0,52.0,662.2899780273438,0.010958904109589041
