ticker,expiry,strike,bid,ask,mid,lastPrice,volume,openInterest,spot,time_to_maturity,moneyness,log_moneyness,sqrt_T,moneyness_T_interaction
SPY,2026-03-19,693.0,0.08,0.1,0.09,0.08,1494.0,2535.0,662.2899780273438,0.0082191780821917,0.955685393978851,-0.04532650588753001,0.09065968278232447,0.007854948443661712
SPY,2026-03-19,694.0,0.07,0.08,0.075,0.07,1052.0,5301.0,662.2899780273438,0.0082191780821917,0.9543083256878152,-0.04676846720443126,0.09065968278232447,0.00784363007414635
SPY,2026-03-19,695.0,0.05,0.07,0.06,0.06,1930.0,3483.0,662.2899780273438,0.0082191780821917,0.9529352201832284,-0.04820835226241891,0.09065968278232447,0.007832344275478513
SPY,2026-03-19,696.0,0.04,0.06,0.05,0.06,302.0,1369.0,662.2899780273438,0.0082191780821917,0.9515660603841146,-0.04964616703204637,0.09065968278232447,0.007821090907266619
SPY,2026-03-19,698.0,0.03,0.04,0.035,0.05,211.0,1366.0,662.2899780273438,0.0082191780821917,0.9488395100678277,-0.05251560945999922,0.09065968278232447,0.007798680904667001
SPY,2026-03-19,700.0,0.02,0.03,0.025,0.04,311.0,4653.0,662.2899780273438,0.0082191780821917,0.9461285400390625,-0.055376841741031385,0.09065968278232447,0.0077763989592250955
SPY,2026-03-20,245.0,415.44,418.24,416.84,418.81,10.0,75.0,662.2899780273438,0.010958904109589,2.703224400111607,0.9944452827576462,0.10468478451804254,0.029624376987524348
SPY,2026-03-20,250.0,410.45,413.24,411.845,421.05,1.0,35.0,662.2899780273438,0.010958904109589,2.649159912109375,0.9742425754401268,0.10468478451804254,0.029031889447773865
SPY,2026-03-20,255.0,410.07,413.38,411.725,355.14,,22.0,662.2899780273438,0.010958904109589,2.5972156001072304,0.9544399481439471,0.10468478451804254,0.028462636713503787
SPY,2026-03-20,260.0,400.44,403.24,401.84,433.5,1.0,29.0,662.2899780273438,0.010958904109589,2.5472691462590142,0.9350218622868455,0.10468478451804254,0.027915278315167172
SPY,2026-03-20,265.0,395.45,398.25,396.85,422.05,1.0,11.0,662.2899780273438,0.010958904109589,2.4992074642541273,0.915973667316151,0.10468478451804254,0.02738857495073006
SPY,2026-03-20,270.0,390.45,393.25,391.85,412.97,1.0,26.0,662.2899780273438,0.010958904109589,2.4529258445457174,0.8972815343039984,0.10468478451804254,0.02688137911830913
SPY,2026-03-20,275.0,416.21,419.02,417.615,403.22,2.0,10.0,662.2899780273438,0.010958904109589,2.4083271928267047,0.878932395635802,0.10468478451804254,0.026392626770703514
SPY,2026-03-20,285.0,347.77,351.1,349.435,321.9,2.0,2.0,662.2899780273438,0.010958904109589,2.3238244843064693,0.8432143130337227,0.10468478451804254,0.025466569691029704
SPY,2026-03-20,290.0,402.08,404.89,403.485,404.0,2.0,13.0,662.2899780273438,0.010958904109589,2.283758544921875,0.8258225703218535,0.10468478451804254,0.02502749090325333
